Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","101","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20002002","2000-2002","%","106","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20012003","2001-2003","%","106","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20022004","2002-2004","%","107","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20032005","2003-2005","%","107","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20042006","2004-2006","%","107","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20052007","2005-2007","%","108","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20062008","2006-2008","%","109","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20072009","2007-2009","%","111","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20082010","2008-2010","%","113","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","%","115","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","%","117","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","%","119","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","%","120","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","%","119","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","%","120","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","%","120","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","%","121","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","%","121","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20002002","2000-2002","I$ per person","166","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20012003","2001-2003","I$ per person","173","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20022004","2002-2004","I$ per person","181","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20032005","2003-2005","I$ per person","187","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20042006","2004-2006","I$ per person","194","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20052007","2005-2007","I$ per person","199","F","FAO estimate",""
"FS","Suite of Food Security Indicators","101","Indonesia","6122","Value","21011","Average value of food production (constant 2004-2006 I$/cap) (3-year average)","20062008","2006-2008","I$ per person","207","F","FAO estimate",""
