Climatic Research Unit Country File created on Wed 15 May 2019 11:43:38 BST, from CRU TS run #1905011326
Country = Indonesia            : parameter = Mean Temperature               : Units = degrees Celsius     
Period = 1901.2018 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    25.6    25.6    26.0    26.1    26.2    25.6    25.4    25.3    25.5    26.0    26.2    25.8    26.1    25.4    25.9    25.6    25.8
 1902    25.5    25.5    25.8    26.0    26.2    25.6    25.2    25.3    25.6    26.1    26.2    25.9    26.0    25.4    25.9    25.8    25.7
 1903    25.8    25.7    25.9    26.0    26.2    25.5    25.2    25.4    25.6    25.9    26.2    25.7    26.0    25.4    25.9    25.5    25.8
 1904    25.5    25.4    26.0    25.8    26.2    25.7    25.4    25.2    25.8    25.8    26.2    25.7    26.0    25.4    25.9    25.6    25.7
 1905    25.6    25.6    25.9    25.9    26.2    25.7    25.3    25.3    25.6    26.1    26.2    26.0    26.0    25.4    26.0    25.9    25.8
 1906    25.8    25.9    25.9    26.1    26.3    25.7    25.3    25.3    25.6    25.9    26.2    25.7    26.1    25.4    25.9    25.6    25.8
 1907    25.5    25.5    25.7    25.9    26.2    25.5    25.2    25.3    25.8    25.9    26.2    25.7    26.0    25.3    26.0    25.7    25.7
 1908    25.6    25.6    25.9    26.0    26.2    25.5    25.4    25.3    25.8    25.9    26.2    25.8    26.0    25.4    26.0    25.7    25.8
 1909    25.7    25.7    25.8    26.0    26.2    25.8    25.2    25.4    25.6    25.9    26.2    25.8    26.0    25.5    25.9    25.7    25.8
 1910    25.7    25.7    25.8    25.9    26.2    25.6    25.3    25.4    25.8    25.8    26.2    25.8    26.0    25.4    26.0    25.7    25.8
 1911    25.7    25.8    26.0    26.1    26.3    25.7    25.4    25.4    25.7    26.0    26.5    26.1    26.1    25.5    26.1    26.0    25.9
 1912    25.9    25.9    26.1    26.3    26.3    25.7    25.4    25.5    25.8    26.1    26.4    26.1    26.2    25.5    26.1    25.9    26.0
 1913    25.8    25.9    26.0    26.0    26.2    25.6    25.4    25.5    25.7    26.2    26.5    26.1    26.1    25.5    26.1    26.0    25.9
 1914    25.8    26.0    26.1    26.2    26.5    25.6    25.4    25.5    25.8    26.3    26.5    26.2    26.3    25.5    26.2    25.9    26.0
 1915    25.7    25.8    26.1    26.2    26.3    25.9    25.5    25.7    25.8    26.2    26.5    26.0    26.2    25.7    26.2    25.7    26.0
 1916    25.5    25.7    26.0    26.1    26.1    25.6    25.3    25.5    25.8    26.2    26.4    25.9    26.1    25.5    26.1    25.6    25.8
 1917    25.4    25.5    25.7    25.9    25.9    25.6    25.4    25.5    25.9    26.3    26.5    26.0    25.9    25.5    26.2    25.4    25.8
